iter	Passed	Remaining
0	77	77402
1	78	38975
2	78	26166
3	79	19805
4	80	15983
5	80	13399
6	81	11553
7	82	10174
8	82	9095
9	83	8230
10	83	7523
11	84	6951
12	85	6472
13	85	6050
14	86	5678
15	87	5351
16	87	5065
17	88	4809
18	88	4579
19	89	4371
20	89	4194
21	90	4037
22	91	3893
23	92	3752
24	92	3620
25	93	3498
26	94	3388
27	94	3286
28	95	3187
29	96	3105
30	96	3029
31	97	2952
32	98	2877
33	98	2806
34	99	2738
35	99	2677
36	100	2616
37	101	2558
38	101	2507
39	102	2463
40	103	2421
41	104	2376
42	104	2333
43	105	2292
44	106	2251
45	106	2211
46	107	2174
47	107	2140
48	108	2112
49	109	2081
50	110	2050
51	110	2018
52	111	1991
53	112	1964
54	112	1936
55	113	1909
56	114	1888
57	114	1866
58	115	1844
59	116	1822
60	116	1799
61	117	1777
62	118	1757
63	118	1735
64	119	1715
65	120	1700
66	121	1685
67	121	1669
68	122	1651
69	123	1635
70	123	1618
71	124	1601
72	124	1585
73	125	1569
74	126	1554
75	127	1544
76	127	1532
77	128	1520
78	129	1507
79	130	1495
80	130	1482
81	131	1469
82	131	1453
83	132	1442
84	133	1433
85	133	1423
86	134	1413
87	135	1402
88	136	1392
89	136	1382
90	137	1371
91	137	1360
92	138	1353
93	139	1346
94	140	1336
95	140	1327
96	141	1317
97	142	1308
98	142	1299
99	143	1290
100	144	1281
101	144	1275
102	145	1270
103	146	1263
104	147	1256
105	148	1248
106	148	1241
107	149	1233
108	149	1225
109	150	1218
110	151	1213
111	152	1207
112	152	1200
113	153	1194
114	155	1193
115	155	1187
116	156	1180
117	157	1176
118	158	1171
119	158	1165
120	159	1159
121	160	1152
122	160	1145
123	161	1139
124	161	1133
125	162	1127
126	163	1122
127	164	1118
128	164	1113
129	165	1108
130	166	1102
131	166	1096
132	167	1091
133	167	1085
134	168	1079
135	169	1073
136	170	1071
137	170	1067
138	171	1064
139	172	1059
140	173	1055
141	173	1048
142	174	1043
143	174	1039
144	175	1036
145	176	1033
146	177	1030
147	178	1026
148	178	1022
149	179	1017
150	180	1013
151	180	1008
152	181	1005
153	182	1002
154	183	1000
155	184	996
156	184	992
157	185	988
158	186	984
159	186	980
160	187	974
161	187	970
162	188	968
163	189	966
164	190	963
165	190	959
166	191	955
167	192	951
168	192	947
169	193	943
170	193	940
171	194	938
172	195	935
173	196	932
174	197	928
175	197	925
176	198	922
177	198	918
178	199	915
179	200	911
180	200	908
181	201	906
182	202	903
183	203	900
184	203	897
185	204	894
186	204	891
187	205	887
188	206	884
189	206	881
190	207	879
191	208	876
192	208	873
193	209	870
194	210	867
195	210	865
196	211	862
197	212	859
198	213	857
199	213	855
200	214	854
201	215	852
202	216	849
203	216	845
204	217	842
205	217	839
206	218	836
207	219	834
208	219	832
209	220	830
210	221	827
